0	Movie	{'tagline': 'Welcome to the Real World', 'title': 'The Matrix', 'released': 1999}
1	Person	{'born': 1964, 'name': 'Keanu Reeves'}
2	Person	{'born': 1967, 'name': 'Carrie-Anne Moss'}
3	Person	{'born': 1961, 'name': 'Laurence Fishburne'}
4	Person	{'born': 1960, 'name': 'Hugo Weaving'}
5	Person	{'born': 1967, 'name': 'Andy Wachowski'}
6	Person	{'born': 1965, 'name': 'Lana Wachowski'}
7	Person	{'born': 1952, 'name': 'Joel Silver'}
8	Person	{'born': 1978, 'name': 'Emil Eifrem'}
9	Movie	{'tagline': 'Free your mind', 'title': 'The Matrix Reloaded', 'released': 2003}
10	Movie	{'tagline': 'Everything that has a beginning has an end', 'title': 'The Matrix Revolutions', 'released': 2003}
11	Movie	"{'tagline': 'Evil has its winning ways', 'title': ""The Devil's Advocate"", 'released': 1997}"
12	Person	{'born': 1975, 'name': 'Charlize Theron'}
13	Person	{'born': 1940, 'name': 'Al Pacino'}
14	Person	{'born': 1944, 'name': 'Taylor Hackford'}
15	Movie	"{'tagline': ""In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."", 'title': 'A Few Good Men', 'released': 1992}"
16	Person	{'born': 1962, 'name': 'Tom Cruise'}
17	Person	{'born': 1937, 'name': 'Jack Nicholson'}
18	Person	{'born': 1962, 'name': 'Demi Moore'}
19	Person	{'born': 1958, 'name': 'Kevin Bacon'}
20	Person	{'born': 1966, 'name': 'Kiefer Sutherland'}
21	Person	{'born': 1971, 'name': 'Noah Wyle'}
22	Person	{'born': 1968, 'name': 'Cuba Gooding Jr.'}
23	Person	{'born': 1957, 'name': 'Kevin Pollak'}
24	Person	{'born': 1943, 'name': 'J.T. Walsh'}
25	Person	{'born': 1967, 'name': 'James Marshall'}
26	Person	{'born': 1948, 'name': 'Christopher Guest'}
27	Person	{'born': 1947, 'name': 'Rob Reiner'}
28	Person	{'born': 1961, 'name': 'Aaron Sorkin'}
29	Movie	{'tagline': 'I feel the need, the need for speed.', 'title': 'Top Gun', 'released': 1986}
